City,Gym_URL,Address
istanbul,https://www.macfit.com/kulupler/istanbul/kartal/macfit-kartal,Petroliş Mah. Üsküdar Cad. No:29 Kartal/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/kucukcekmece/macfit-arenapark,Atakent Mah. Çiçekli Vadi No:1 Küçükçekmece/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/kucukcekmece/macfit-sefakoy-metropark,"Sefaköy, Kartaltepe, 34295 Küçükçekmece/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/kucukcekmece/macfit-tema-world,"Atakent, 243. Sok No:28, 34307 Küçükçekmece/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/maltepe/macfit-hilltown,"Aydınevler Mah., Çamlıca Sitesi Yolu Sok., 34765 Maltepe/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/maltepe/macfit-maltepe-ofispark,"Ofispark, Altayçeşme Mah. E-5 Karayolu Üstü, Çam Sok. Maltepe / İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/maltepe/macone-maltepe-park,Cevizli Mah. Tugay Yolu Cad. No:67 34846 Maltepe/İstanbul
istanbul,https://www.macfit.com/kulupler/istanbul/maltepe/macfit-maltepe-piazza,"Cevizli, Tugay Yolu Cd. No:71, 34846 Maltepe/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/maltepe/macfit-maltepe-ritim,"Ritim İstanbul, Cevizli Mah. Zuhal Cad. Füsun Sokak, Maltepe/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/pendik/macfit-kurtkoy,"Yenişehir Mah. Osmanlı Blv. No:16, 34912 Pendik/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/pendik/macfit-neomarin,"Çarşı Mah., E-5 Karayolu Tersane Kavşağı Elka Sok. No:9, 34890 Pendik/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/pendik/macfit-pendik-cebeci,"Doğu, Madalyon Sk., No:8, 34890
Pendik/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sancaktepe/macfit-camsan-park,"Sarıgazi, Atatürk Cd. No:16, 34785 Sancaktepe/İstanbul"
